code_complexity_cyclomatic,development_time_months,team_size,programming_language,developer_experience_avg_years,code_review_coverage,testing_coverage_percent,project_type,requirements_volatility,version_control_usage,continuous_integration,documentation_quality,customer_involvement,budget_constraints,defect_density_per_kloc
43.426546389004265,19.34220216579281,4.0,Python,5.360671642767261,75.13991634174745,,Enterprise,Low,Expert,None,Poor,Medium,Moderate,9.010645022970834
20.375855409696207,,14.0,C++,8.539208392219255,17.32934616781626,91.35497404304968,Embedded,Low,Advanced,,Excellent,Medium,Moderate,
4.9544238504513025,10.338737635652272,17.0,JavaScript,14.743923992404264,93.7747269426028,55.054366151304514,Desktop,Medium,Basic,Basic,,High,Severe,5.672287110613301
45.427173668604205,17.86122806675438,6.0,,2.343607569194162,29.487048319822996,,Embedded,Low,Expert,None,Poor,High,Severe,
15.514016877493658,4.892647988041884,20.0,C#,10.39784436817099,0.17690474619600494,60.55139740834255,Embedded,Medium,Expert,None,Fair,,Severe,4.664320037115847
13.985503764291819,5.387823868214035,9.0,Java,10.709196956364373,30.833820305233683,,Enterprise,Low,Basic,,Poor,Medium,None,3.0698205176027056
20.686388418194433,7.540966828417131,12.0,C++,6.571964000437854,60.533582019919926,92.77774437982723,Enterprise,High,Advanced,Basic,Fair,High,Moderate,2.874136882106565
32.72117056027007,30.618175275071206,10.0,C++,5.44394840094558,40.02933730053972,91.52957346457221,Embedded,Medium,Expert,Advanced,Poor,High,Moderate,4.583722315734366
45.15985501618778,13.60292433404878,22.0,C#,4.542332759175812,71.05500471511806,73.40638917478799,Mobile,Low,Expert,None,Excellent,Medium,Severe,5.169505321055406
25.901193873157567,26.78604697055573,17.0,C++,6.627820776477355,59.447500484026264,85.22676035535426,Enterprise,Medium,Advanced,Basic,Good,Medium,Severe,9.048403711880535
15.523784730728094,20.281316650343985,11.0,C#,1.1661380188853532,34.45916052324589,71.80386459221174,Desktop,Low,Expert,Basic,Poor,Medium,None,7.078603216854713
2.727637045184953,19.036727091815916,7.0,C++,2.4699502586100768,66.424152351259,94.19147454072092,Desktop,Medium,Advanced,Advanced,Good,High,Severe,7.219701670835934
14.55971700300286,22.694594600684514,20.0,C++,6.02657847999374,97.13275901748872,51.68786374878797,Embedded,Medium,Advanced,,Good,Medium,Moderate,7.186026715153661
38.277040939347586,21.744488132396828,19.0,C#,9.259059677833427,49.456926381506236,65.985031124406,Web App,Low,Advanced,Basic,Poor,Medium,Severe,9.503894333841338
19.057832580972516,30.840217448051913,4.0,JavaScript,10.302218308938174,55.20144950071605,60.8703710511545,Mobile,High,Expert,Basic,Excellent,High,Moderate,5.206993031586927
16.198519133826395,30.47162423078635,29.0,Python,10.24905005164157,20.432662377688704,,Enterprise,High,Basic,Advanced,Poor,Medium,None,
25.2001799414069,24.66462492781184,10.0,C++,1.111225813727728,59.687230866438554,75.71695157312705,Mobile,High,,Basic,Fair,High,Severe,7.7635573771202635
9.910696143735612,24.64333819903014,20.0,JavaScript,3.1324208843886803,99.54309302779882,78.13062501861299,Enterprise,Low,Basic,None,Excellent,High,Moderate,6.9582191309504875
35.82082011246471,24.188307380593006,22.0,JavaScript,13.262895248113601,60.35241144500208,55.93153088819273,Mobile,,Advanced,None,Fair,Medium,Moderate,2.8799902450110886
3.6998662682136896,29.424018835343663,20.0,JavaScript,14.421997165761443,92.74668109092558,81.26543412070576,Web App,High,Expert,Basic,Excellent,Medium,Severe,3.2684676488901743
31.100412456863793,16.171566055285478,28.0,C#,8.81461674125405,81.25917960527356,92.40023801616496,Embedded,High,Expert,Basic,Fair,High,Moderate,7.607436228330416
3.030713956744426,14.314874842402523,12.0,Java,11.426477841342479,18.664418984017072,,Mobile,Low,Advanced,Basic,Good,Medium,Severe,8.041892854677043
49.94167177278949,11.904509173518246,13.0,JavaScript,5.265284689593065,74.12027600657063,85.85808841802346,,Medium,Basic,None,,Medium,Severe,2.407156775364356
7.097906094182275,31.382528837979795,3.0,JavaScript,11.871031708182642,63.235498598321904,95.10339994379112,Desktop,Low,Expert,,,High,Moderate,8.293756760252606
47.71422329988931,3.985428392588669,12.0,C#,8.72467952462781,80.40958488446083,82.50974972425598,Mobile,Medium,Basic,None,Fair,Medium,None,6.62896369383941
37.00195049956412,12.017277894593963,26.0,C++,1.6963058985004087,99.97734655500284,55.262656831282335,Mobile,Medium,Advanced,None,Poor,Low,Severe,0.6135941317836282
39.97696865008987,8.493834106912493,5.0,C#,3.852161670403523,98.7220216751145,96.84648501224069,Desktop,Low,Expert,Basic,Poor,Medium,Severe,9.023822996557907
37.182688475656775,29.064215773770364,22.0,C#,9.167815667973718,9.757249323597883,59.44134202793313,Web App,High,Advanced,None,Poor,High,Moderate,5.944627547065159
26.632666358954054,15.28909128518065,27.0,Java,10.807717236089276,90.07848870872763,81.26144356116689,Enterprise,Low,Expert,None,,Low,Moderate,7.02248791414225
19.61555973847055,10.159573057609128,5.0,C++,6.813108467983964,15.398221383436727,72.6605456082746,Embedded,High,Advanced,None,Poor,Medium,None,3.2983705349869408
1.9293721316105668,17.535383528479997,16.0,C++,12.18428975418055,90.40007710602357,,Enterprise,Medium,Expert,Basic,Poor,High,Moderate,9.388310918763917
21.625071632863637,5.2693707201659725,24.0,C#,1.3605127001706459,26.289175338596205,61.027286750699396,Desktop,,Expert,Basic,Excellent,Low,Severe,5.183008023788489
26.276589484221702,17.430890630963187,5.0,JavaScript,14.217862039766821,26.533857845393715,67.63780455624448,Desktop,Medium,Basic,Basic,Good,High,None,2.828876032545197
5.890747269223454,27.08495220987927,7.0,JavaScript,7.241415943660682,64.73868993786702,50.49293501036592,Web App,Low,Expert,Basic,Excellent,High,None,
42.752228463991884,13.109483156186569,14.0,,8.656926554293257,70.90920428626812,71.5393445220956,Mobile,High,Advanced,None,Excellent,High,None,8.65360395601303
23.84734455310827,12.881439990356945,19.0,,5.39779456241694,61.16510020367936,67.1300443210384,Embedded,High,Expert,Advanced,Fair,Low,Moderate,0.9812057048169689
12.350919277593952,12.603529343450464,17.0,JavaScript,7.828713478450536,60.69136403249461,73.00637209130338,Desktop,Low,Expert,None,Fair,High,None,3.841914504221099
10.192279565279378,20.020147393077202,16.0,C#,9.73863751051169,56.04150263041559,78.90450152919406,Web App,Low,Expert,Advanced,Fair,High,None,1.1295458791804658
18.362660991014074,21.879486604550696,6.0,Java,10.337570394721007,60.42972232176504,67.6828044657336,Enterprise,Medium,Advanced,Advanced,Excellent,Medium,Severe,9.375778932562282
12.054858998845408,,26.0,C++,7.238640531198687,61.60157507042139,81.4336226275553,Web App,Low,Expert,None,Fair,Medium,None,5.392582705872501
25.13330364608232,16.67326217891994,28.0,C++,13.236600851284123,84.70753170656731,65.10911190759381,Embedded,Low,Basic,,Excellent,High,Moderate,5.988261160048477
18.378060414813415,29.90805526876444,25.0,Java,9.104937687771782,20.712343436991098,84.20117361799956,Enterprise,Low,Basic,None,Excellent,Low,Severe,8.492534295566667
31.86069560225052,17.171187112683604,23.0,C#,13.38108886269686,63.442181357770735,66.87515621535505,Mobile,Medium,Advanced,Basic,Excellent,Medium,Moderate,2.9209282030743626
46.50806474860903,32.36199904751267,23.0,Python,9.483075943179355,5.733516142470496,72.05515392234557,Mobile,Medium,Advanced,None,Poor,High,Moderate,1.8228179412133934
33.4816007904182,18.772082723286445,26.0,Java,1.880680013554474,6.846913293036028,98.3261740442782,Embedded,Medium,,Advanced,Poor,Low,None,4.435632498752963
32.98631138063213,17.274237089947817,21.0,Java,5.7383774998729775,43.93978916555,94.73970976924294,Enterprise,Medium,Basic,,Poor,Low,Severe,2.111115068785089
